art,datum,detail,ort,latitude,longitude
Sturzflut 3,10.07.1989,Sturzflut bei Teuffenthal (BE),Teuffenthal,46.7689277,7.7106868
Sturzflut 1,10.06.1989,Sturzflut bei Menznau (LU),Menznau,47.0838106,8.040131
Hochwasser,04.12.1988,Starkregen in der Westschweiz,Westschweiz,46.57714235,6.446213791
Sturzflut 2,09.09.1988,Sturzflut bei Neuenburg (NE),Neuenburg,46.9895828,6.9292641
Hochwasser,20.08.1988,Starker Gewitterregen im Tessin und Graubünden,Graubünden,46.6960615,9.6027351
Sturzflut 3,15.08.1988,Sturzflut in der Stadt Zürich (ZH),Zürich,47.3744489,8.5410422
Sturzflut 3,02.08.1988,"Sturzflut in Lugano, 30.3mm / 10 min.",Lugano,46.0050102,8.9520281
Sturzflut 2,23.07.1988,Sturzflut bei Jaun (FR),Jaun ,46.6113953,7.2761312
Sturzflut 3,29.06.1988,Sturzflut bei Marbach (LU),Marbach,47.3919868,9.5686092
Sturzflut 3,16.06.1988,Sturzflut zwischen Willisau (LU) und Luzern (LU),Willisau,47.1215184,7.99659
Sturzflut 2,16.06.1988,Sturzflut nördlich von Delémont (JU),Delemont,47.3615882,7.354445
Sturzflut 1,12.06.1988,Sturzflut bei Schwarzenegg (BE),Schwarzegg,47.0139894,7.9091708
Sturzflut 2,11.06.1988,Sturzflut um Konolfingen (BE) und Grosshöchstetten (BE),Konolfingen,46.879415,7.6209846
Sturzflut 3,27.05.1988,"Sturzflut in Zürich-Affoltern, 30.3mm / 10 min.",Grosshöchstetten,46.9079431,7.6385085
Sturzflut 1,26.05.1988,Sturzflut bei Steffisburg (BE),Steffisburg,46.7774738,7.6354195
Sturzflut 1,13.05.1988,Sturzflut in Lyss (BE),Lyss,47.0721368,7.305262
Hochwasser,26.09.1987,Starkregen im Val-de-Travers und am Neuenburger- und Murtensee,Neuenburg,46.9895828,6.9292641
Sturzflut 1,04.09.1987,Sturzflut in Ammerzwil (BE),Ammerzwil,47.0708366,7.3417323
Sturzflut 1,04.09.1987,Sturzflut im unteren Baselbiet (BL),Baselbiet,47.5092938,7.6588333
Hochwasser,25.08.1987,"Sturzfluten und Hochwasser Gotthardregion, Alpenraum (UR, VS, TI)",Gotthardregion,46.60822573,8.638170082
Hochwasser,19.07.1987,"Sturzfluten und Hochwasser in der Südostschweiz (GR, TI)",Südostschweiz,47.0459321,9.4445121
Hochwasser,17.07.1987,Starker Gewitterregen am Langensee im Tessin,Tessin,46.3351913,8.7525902
Sturzflut 1,15.07.1987,Sturzflut im Kandertal (BE),Kandertal,46.5477312,7.6597437
Sturzflut 2,14.07.1987,Sturzflut im oberen Suldtal (BE),Suldtal,46.63861382,7.69059457
Sturzflut 1,08.07.1987,Sturzflut bei Yverdon (VD),Yverdon,46.7785711,6.6409158
